ts_code,symbol,name,industry,list_date
600655.SH,600655,豫园股份,百货,19920902
600657.SH,600657,信达地产,全国地产,19930524
600658.SH,600658,电子城,园区开发,19930524
600660.SH,600660,福耀玻璃,汽车配件,19930610
600661.SH,600661,昂立教育,文教休闲,19930614
600662.SH,600662,外服控股,文教休闲,19930614
600663.SH,600663,陆家嘴,园区开发,19930628
600664.SH,600664,哈药股份,化学制药,19930629
600665.SH,600665,天地源,全国地产,19930709
600666.SH,600666,奥瑞德,元器件,19930712
600667.SH,600667,太极实业,半导体,19930728
600668.SH,600668,尖峰集团,水泥,19930728
600671.SH,600671,天目药业,中成药,19930823
600673.SH,600673,东阳光,综合类,19930917
600674.SH,600674,川投能源,水力发电,19930924
600675.SH,600675,中华企业,区域地产,19930924
600676.SH,600676,交运股份,汽车配件,19930928
600678.SH,600678,四川金顶,水泥,19931008
600679.SH,600679,上海凤凰,文教休闲,19931008
600681.SH,600681,百川能源,供气供热,19931018
600682.SH,600682,南京新百,生物制药,19931018
600683.SH,600683,京投发展,区域地产,19931025
600684.SH,600684,珠江股份,区域地产,19931028
600685.SH,600685,中船防务,船舶,19931028
600686.SH,600686,金龙汽车,汽车整车,19931108
600688.SH,600688,上海石化,石油加工,19931108
600689.SH,600689,上海三毛,综合类,19931108
600690.SH,600690,海尔智家,家用电器,19931119
600691.SH,600691,潞化科技,农药化肥,19931119
600692.SH,600692,亚通股份,区域地产,19931119
600693.SH,600693,东百集团,百货,19931122
600694.SH,600694,大商股份,百货,19931122
600696.SH,600696,*ST岩石,白酒,19931206
600697.SH,600697,欧亚集团,百货,19931206
600698.SH,600698,湖南天雁,汽车配件,19931206
600699.SH,600699,均胜电子,汽车配件,19931206
600702.SH,600702,舍得酒业,白酒,19960524
600703.SH,600703,三安光电,半导体,19960528
600704.SH,600704,物产中大,仓储物流,19960606
600706.SH,600706,曲江文旅,旅游景点,19960516
600707.SH,600707,彩虹股份,元器件,19960520
600708.SH,600708,光明地产,全国地产,19960606
600710.SH,600710,苏美达,商贸代理,19960701
600711.SH,600711,盛屯矿业,小金属,19960531
600712.SH,600712,南宁百货,百货,19960626
600713.SH,600713,南京医药,医药商业,19960701
600714.SH,600714,金瑞矿业,化工原料,19960606
600715.SH,600715,文投控股,影视音像,19960701
600716.SH,600716,凤凰股份,区域地产,19960702
600717.SH,600717,天津港,港口,19960614
600718.SH,600718,东软集团,软件服务,19960618
600719.SH,600719,大连热电,供气供热,19960716
600720.SH,600720,中交设计,建筑工程,19960716
600721.SH,600721,百花医药,生物制药,19960626
600722.SH,600722,金牛化工,化工原料,19960626
600724.SH,600724,宁波富达,综合类,19960716
600725.SH,600725,云维股份,商贸代理,19960702
600726.SH,600726,华电能源,火力发电,19960701
600727.SH,600727,鲁北化工,化工原料,19960702
600728.SH,600728,佳都科技,软件服务,19960716
600729.SH,600729,重庆百货,百货,19960702
600730.SH,600730,中国高科,文教休闲,19960726
600731.SH,600731,湖南海利,农药化肥,19960802
600732.SH,600732,爱旭股份,电气设备,19960816
600733.SH,600733,北汽蓝谷,汽车整车,19960816
600734.SH,600734,实达集团,软件服务,19960808
600735.SH,600735,ST新华锦,服饰,19960726
600736.SH,600736,苏州高新,园区开发,19960815
600737.SH,600737,中粮糖业,食品,19960731
600738.SH,600738,丽尚国潮,百货,19960802
600739.SH,600739,辽宁成大,生物制药,19960819
600740.SH,600740,山西焦化,焦炭加工,19960808
600741.SH,600741,华域汽车,汽车配件,19960826
600742.SH,600742,富维股份,汽车配件,19960826
600743.SH,600743,华远控股,区域地产,19960909
600744.SH,600744,华银电力,火力发电,19960905
600745.SH,600745,闻泰科技,半导体,19960828
600746.SH,600746,江苏索普,化工原料,19960918
600748.SH,600748,上实发展,全国地产,19960925
600749.SH,600749,西藏旅游,旅游景点,19961015
600750.SH,600750,华润江中,中成药,19960923
600751.SH,600751,海航科技,水运,19960909
600753.SH,600753,*ST海钦,商贸代理,19960927
600754.SH,600754,锦江酒店,酒店餐饮,19961011
600755.SH,600755,厦门国贸,仓储物流,19961003
600756.SH,600756,浪潮软件,软件服务,19960923
600757.SH,600757,长江传媒,出版业,19961003
600758.SH,600758,辽宁能源,煤炭开采,19961029
600759.SH,600759,洲际油气,石油开采,19961008
600760.SH,600760,中航沈飞,航空,19961011
